"Time","Date","---","Sensor Name","Data"
"12:24:30","7/11/17","DATA","ACCEL_X:","-0.20"
"12:24:30","7/11/17","DATA","ACCEL_X:","-0.21"
"12:24:31","7/11/17","DATA","ACCEL_X:","-0.21"
"12:24:31","7/11/17","DATA","ACCEL_X:","-0.21"
"12:24:32","7/11/17","DATA","ACCEL_X:","-0.22"
"12:24:33","7/11/17","DATA","ACCEL_X:","-0.22"
"12:24:33","7/11/17","DATA","ACCEL_X:","-0.22"
"12:24:34","7/11/17","DATA","ACCEL_X:","-0.23"
"12:24:34","7/11/17","DATA","ACCEL_X:","-0.23"
"12:24:35","7/11/17","DATA","ACCEL_X:","-0.23"
"12:24:36","7/11/17","DATA","ACCEL_X:","-0.23"
"12:24:36","7/11/17","DATA","ACCEL_X:","-0.24"
"12:24:37","7/11/17","DATA","ACCEL_X:","-0.24"
"12:24:37","7/11/17","DATA","ACCEL_X:","-0.24"
"12:24:38","7/11/17","DATA","ACCEL_X:","-0.25"
"12:24:38","7/11/17","DATA","ACCEL_X:","-0.25"
"12:24:39","7/11/17","DATA","ACCEL_X:","-0.25"
"12:24:40","7/11/17","DATA","ACCEL_X:","-0.25"
"12:24:40","7/11/17","DATA","ACCEL_X:","-0.26"
"12:24:41","7/11/17","DATA","ACCEL_X:","-0.26"
"12:24:41","7/11/17","DATA","ACCEL_X:","-0.26"
"12:24:42","7/11/17","DATA","ACCEL_X:","-0.27"
"12:24:43","7/11/17","DATA","ACCEL_X:","-0.27"
"12:24:43","7/11/17","DATA","ACCEL_X:","-0.27"
"12:24:44","7/11/17","DATA","ACCEL_X:","-0.28"
"12:24:44","7/11/17","DATA","ACCEL_X:","-0.28"
"12:24:45","7/11/17","DATA","ACCEL_X:","-0.28"
"12:24:45","7/11/17","DATA","ACCEL_X:","-0.28"
"12:24:46","7/11/17","DATA","ACCEL_X:","-0.29"
"12:24:47","7/11/17","DATA","ACCEL_X:","-0.29"
"12:24:47","7/11/17","DATA","ACCEL_X:","-0.29"
"12:24:48","7/11/17","DATA","ACCEL_X:","-0.30"
"12:24:48","7/11/17","DATA","ACCEL_X:","-0.30"
"12:24:49","7/11/17","DATA","ACCEL_X:","-0.30"
"12:24:49","7/11/17","DATA","ACCEL_X:","-0.31"
"12:24:50","7/11/17","DATA","ACCEL_X:","-0.31"
"12:24:51","7/11/17","DATA","ACCEL_X:","-0.31"
"12:24:51","7/11/17","DATA","ACCEL_X:","-0.31"
"12:24:52","7/11/17","DATA","ACCEL_X:","-0.32"
"12:24:52","7/11/17","DATA","ACCEL_X:","-0.32"
