"Time","Date","---","Sensor Name","Data"
"12:26:49","7/11/17","DATA","PRESSURE_S:","36.10"
"12:26:51","7/11/17","DATA","PRESSURE_S:","34.40"
"12:26:53","7/11/17","DATA","PRESSURE_S:","32.70"
"12:26:55","7/11/17","DATA","PRESSURE_S:","31.80"
"12:26:57","7/11/17","DATA","PRESSURE_S:","30.40"
"12:26:59","7/11/17","DATA","PRESSURE_S:","29.00"
"12:27:01","7/11/17","DATA","PRESSURE_S:","27.60"
"12:27:03","7/11/17","DATA","PRESSURE_S:","27.00"
"12:27:05","7/11/17","DATA","PRESSURE_S:","25.90"
"12:27:07","7/11/17","DATA","PRESSURE_S:","24.70"
"12:27:09","7/11/17","DATA","PRESSURE_S:","24.10"
"12:27:11","7/11/17","DATA","PRESSURE_S:","22.70"
"12:27:13","7/11/17","DATA","PRESSURE_S:","21.60"
"12:27:15","7/11/17","DATA","PRESSURE_S:","21.00"
"12:27:17","7/11/17","DATA","PRESSURE_S:","19.30"
"12:27:19","7/11/17","DATA","PRESSURE_S:","18.70"
"12:27:21","7/11/17","DATA","PRESSURE_S:","18.10"
"12:27:23","7/11/17","DATA","PRESSURE_S:","17.20"
"12:27:25","7/11/17","DATA","PRESSURE_S:","15.60"
"12:27:27","7/11/17","DATA","PRESSURE_S:","15.80"
"12:27:29","7/11/17","DATA","PRESSURE_S:","15.50"
"12:27:31","7/11/17","DATA","PRESSURE_S:","14.90"
"12:27:33","7/11/17","DATA","PRESSURE_S:","13.70"
"12:27:35","7/11/17","DATA","PRESSURE_S:","13.20"
"12:27:37","7/11/17","DATA","PRESSURE_S:","12.60"
"12:27:39","7/11/17","DATA","PRESSURE_S:","12.20"
"12:27:41","7/11/17","DATA","PRESSURE_S:","11.90"
"12:27:43","7/11/17","DATA","PRESSURE_S:","11.60"
"12:27:45","7/11/17","DATA","PRESSURE_S:","11.00"
"12:27:47","7/11/17","DATA","PRESSURE_S:","9.90"
"12:27:49","7/11/17","DATA","PRESSURE_S:","9.90"
"12:27:51","7/11/17","DATA","PRESSURE_S:","9.50"
"12:27:53","7/11/17","DATA","PRESSURE_S:","8.90"
"12:27:55","7/11/17","DATA","PRESSURE_S:","8.10"
"12:27:57","7/11/17","DATA","PRESSURE_S:","8.00"
"12:27:59","7/11/17","DATA","PRESSURE_S:","7.40"
"12:28:01","7/11/17","DATA","PRESSURE_S:","7.40"
"12:28:03","7/11/17","DATA","PRESSURE_S:","6.80"
"12:28:05","7/11/17","DATA","PRESSURE_S:","6.20"
"12:28:07","7/11/17","DATA","PRESSURE_S:","5.90"
"12:28:09","7/11/17","DATA","PRESSURE_S:","6.10"
"12:28:11","7/11/17","DATA","PRESSURE_S:","6.40"
"12:28:13","7/11/17","DATA","PRESSURE_S:","5.80"
"12:28:15","7/11/17","DATA","PRESSURE_S:","4.10"
"12:28:17","7/11/17","DATA","PRESSURE_S:","4.90"
"12:28:19","7/11/17","DATA","PRESSURE_S:","4.60"
"12:28:21","7/11/17","DATA","PRESSURE_S:","4.50"
"12:28:23","7/11/17","DATA","PRESSURE_S:","4.20"
"12:28:25","7/11/17","DATA","PRESSURE_S:","3.30"
"12:28:27","7/11/17","DATA","PRESSURE_S:","3.90"
"12:28:29","7/11/17","DATA","PRESSURE_S:","3.30"
"12:28:31","7/11/17","DATA","PRESSURE_S:","2.90"
"12:28:33","7/11/17","DATA","PRESSURE_S:","3.20"
"12:28:35","7/11/17","DATA","PRESSURE_S:","2.60"
"12:28:37","7/11/17","DATA","PRESSURE_S:","2.80"
"12:28:39","7/11/17","DATA","PRESSURE_S:","2.50"
"12:28:41","7/11/17","DATA","PRESSURE_S:","2.20"
"12:28:43","7/11/17","DATA","PRESSURE_S:","1.90"
"12:28:45","7/11/17","DATA","PRESSURE_S:","1.90"
"12:28:47","7/11/17","DATA","PRESSURE_S:","1.50"
"12:28:49","7/11/17","DATA","PRESSURE_S:","2.10"
"12:28:51","7/11/17","DATA","PRESSURE_S:","2.00"
"12:28:53","7/11/17","DATA","PRESSURE_S:","1.20"
"12:28:55","7/11/17","DATA","PRESSURE_S:","1.70"
"12:28:57","7/11/17","DATA","PRESSURE_S:","1.40"
"12:28:59","7/11/17","DATA","PRESSURE_S:","0.80"
"12:29:01","7/11/17","DATA","PRESSURE_S:","1.30"
"12:29:03","7/11/17","DATA","PRESSURE_S:","1.00"
"12:29:05","7/11/17","DATA","PRESSURE_S:","0.10"
"12:29:07","7/11/17","DATA","PRESSURE_S:","0.60"
"12:29:09","7/11/17","DATA","PRESSURE_S:","0.90"
"12:29:11","7/11/17","DATA","PRESSURE_S:","0.90"
"12:29:13","7/11/17","DATA","PRESSURE_S:","0.50"
"12:29:15","7/11/17","DATA","PRESSURE_S:","0.50"
"12:29:17","7/11/17","DATA","PRESSURE_S:","0.50"
"12:29:19","7/11/17","DATA","PRESSURE_S:","0.00"
"12:29:21","7/11/17","DATA","PRESSURE_S:","0.00"
"12:29:23","7/11/17","DATA","PRESSURE_S:","0.10"
"12:29:25","7/11/17","DATA","PRESSURE_S:","-0.10"
"12:29:27","7/11/17","DATA","PRESSURE_S:","-0.40"
"12:29:29","7/11/17","DATA","PRESSURE_S:","0.30"
"12:29:31","7/11/17","DATA","PRESSURE_S:","0.00"
"12:29:33","7/11/17","DATA","PRESSURE_S:","-0.20"
